content_id,publisher,topic,quality_score,region_restriction,publish_timestamp
142,InsightPost,sports,0.43,NA,2025-04-02T17:45:00Z
143,SportZone,sports,0.87,ALL,2025-04-03T08:25:00Z
144,NewHorizons,entertainment,0.61,NA,2025-04-03T09:10:00Z
145,DigiTrends,business,0.74,EU,2025-04-03T09:50:00Z
146,NewsNow,politics,0.66,ALL,2025-04-03T10:05:00Z
147,GlobalSports,sports,0.48,NA,2025-04-03T10:40:00Z
148,TheDailyNews,politics,0.53,EU,2025-04-03T11:25:00Z
149,TechGuru,technology,0.62,AS,2025-04-03T11:55:00Z
150,WorldWideNews,entertainment,0.71,ALL,2025-04-03T12:10:00Z
151,SportZone,sports,0.81,NA,2025-04-03T12:35:00Z
152,FocusTech,technology,0.75,EU,2025-04-03T13:00:00Z
153,InsightPost,business,0.64,ALL,2025-04-03T13:25:00Z
154,DigiTrends,technology,0.55,NA,2025-04-03T14:10:00Z
155,NewsNow,sports,0.46,AS,2025-04-03T14:45:00Z
156,GlobalSports,business,0.5,EU,2025-04-03T15:20:00Z
157,NewHorizons,entertainment,0.58,ALL,2025-04-03T15:50:00Z
158,WorldWideNews,politics,0.6,EU,2025-04-03T16:25:00Z
159,FocusTech,technology,0.89,ALL,2025-04-03T16:55:00Z
160,InsightPost,politics,0.42,NA,2025-04-03T17:10:00Z
161,DigiTrends,technology,0.86,AS,2025-04-03T17:30:00Z
162,TheDailyNews,business,0.95,ALL,2025-04-04T08:05:00Z
163,NewsNow,politics,0.59,EU,2025-04-04T08:25:00Z
164,SportZone,sports,0.92,ALL,2025-04-04T08:55:00Z
165,TechGuru,technology,0.57,NA,2025-04-04T09:25:00Z
166,GlobalSports,sports,0.68,AS,2025-04-04T09:45:00Z
167,FocusTech,business,0.56,EU,2025-04-04T10:00:00Z
168,InsightPost,technology,0.79,ALL,2025-04-04T10:20:00Z
169,NewHorizons,entertainment,0.74,NA,2025-04-04T10:55:00Z
170,WorldWideNews,politics,0.63,ALL,2025-04-04T11:30:00Z
171,SportZone,sports,0.54,NA,2025-04-04T12:10:00Z
172,DigiTrends,business,0.7,EU,2025-04-04T12:45:00Z
173,TechGuru,technology,0.92,ALL,2025-04-04T13:05:00Z
174,GlobalSports,sports,0.44,NA,2025-04-04T13:20:00Z
175,TheDailyNews,entertainment,0.52,AS,2025-04-04T13:50:00Z
176,FocusTech,technology,0.86,EU,2025-04-04T14:05:00Z
177,InsightPost,business,0.58,NA,2025-04-04T14:20:00Z
178,NewsNow,politics,0.61,ALL,2025-04-04T15:00:00Z
179,SportZone,entertainment,0.66,NA,2025-04-04T15:35:00Z
180,DigiTrends,technology,0.62,AS,2025-04-04T16:00:00Z
181,GlobalSports,sports,0.8,EU,2025-04-04T16:25:00Z
182,TechGuru,business,0.51,ALL,2025-04-04T17:00:00Z
183,TheDailyNews,politics,0.68,NA,2025-04-04T17:15:00Z
184,FocusTech,technology,0.85,EU,2025-04-04T17:40:00Z
185,InsightPost,sports,0.72,ALL,2025-04-04T18:00:00Z
186,WorldWideNews,business,0.49,AS,2025-04-04T18:15:00Z
187,NewHorizons,entertainment,0.57,EU,2025-04-04T18:35:00Z
188,NewsNow,politics,0.46,NA,2025-04-04T19:00:00Z
189,DigiTrends,technology,0.9,ALL,2025-04-04T19:20:00Z
190,SportZone,sports,0.73,NA,2025-04-04T19:45:00Z
191,GlobalSports,business,0.47,EU,2025-04-04T20:00:00Z
192,TechGuru,technology,0.66,AS,2025-04-04T20:15:00Z
193,FocusTech,politics,0.65,NA,2025-04-04T20:55:00Z
194,InsightPost,entertainment,0.6,ALL,2025-04-04T21:15:00Z
195,TheDailyNews,politics,0.53,EU,2025-04-04T21:30:00Z
196,GlobalSports,sports,0.59,ALL,2025-04-04T21:50:00Z
197,WorldWideNews,business,0.76,NA,2025-04-04T22:10:00Z
198,NewHorizons,entertainment,0.49,EU,2025-04-04T22:30:00Z
199,NewsNow,technology,0.57,AS,2025-04-04T22:55:00Z
200,DigiTrends,sports,0.63,ALL,2025-04-04T23:10:00Z
