user_id,content_id,click,dwell_time,share,comment,hide,event_timestamp
41,140,1,5.3,0,0,0,2025-04-02T16:52:00Z
42,192,1,7.6,0,0,0,2025-04-04T20:17:00Z
43,102,0,0.8,0,0,1,2025-04-01T09:50:00Z
44,187,1,3,0,0,0,2025-04-04T18:40:00Z
45,134,1,2.2,0,0,0,2025-04-02T13:45:00Z
46,133,0,0.2,0,0,0,2025-04-02T13:10:00Z
47,175,1,6.7,1,1,0,2025-04-04T13:55:00Z
48,110,0,0,0,0,0,2025-04-01T17:58:00Z
49,143,1,4.4,0,2,0,2025-04-03T08:30:00Z
50,151,1,5.1,1,0,0,2025-04-03T12:38:00Z
51,174,1,10.9,0,0,0,2025-04-04T13:25:00Z
52,162,1,3.8,0,0,0,2025-04-04T08:15:00Z
53,131,0,0.5,0,0,0,2025-04-02T12:11:00Z
54,144,1,7.7,0,0,0,2025-04-03T09:12:00Z
55,179,1,2.2,0,0,0,2025-04-04T15:40:00Z
56,122,0,1.9,0,0,1,2025-04-01T17:03:00Z
57,105,1,8.6,1,0,0,2025-04-01T13:50:00Z
58,200,0,0.2,0,0,0,2025-04-04T23:15:00Z
59,106,1,7.5,1,2,0,2025-04-01T14:17:00Z
60,127,1,5.5,0,0,0,2025-04-02T09:40:00Z
61,114,1,9,0,2,0,2025-04-01T10:58:00Z
62,193,0,0.7,0,0,0,2025-04-04T21:00:00Z
63,166,1,2.6,1,0,0,2025-04-04T09:50:00Z
64,134,1,3.3,0,0,0,2025-04-02T13:50:00Z
65,159,0,0.9,0,0,0,2025-04-03T16:59:00Z
66,181,1,6.2,1,0,0,2025-04-04T16:27:00Z
67,192,1,11.1,0,0,0,2025-04-04T20:20:00Z
68,154,0,0,0,0,0,2025-04-03T14:15:00Z
69,138,1,8,1,0,0,2025-04-02T15:30:00Z
70,186,0,0.4,0,0,0,2025-04-04T18:18:00Z
71,107,1,8.1,1,0,0,2025-04-01T15:15:00Z
72,163,1,7.2,0,0,0,2025-04-04T08:27:00Z
73,179,0,0.8,0,0,0,2025-04-04T15:43:00Z
74,129,1,5.3,0,0,0,2025-04-02T11:05:00Z
75,146,1,3.4,0,0,0,2025-04-03T10:10:00Z
76,140,0,1.4,0,0,0,2025-04-02T16:55:00Z
77,118,1,6.1,0,0,0,2025-04-01T13:20:00Z
78,159,1,4.7,0,1,0,2025-04-03T16:58:00Z
79,121,0,0.3,0,0,1,2025-04-01T16:02:00Z
80,185,1,9.9,0,2,0,2025-04-04T18:05:00Z
81,124,1,7.1,0,0,0,2025-04-02T08:35:00Z
82,142,1,2.6,0,1,0,2025-04-02T17:50:00Z
83,113,1,5.4,0,0,0,2025-04-01T10:15:00Z
84,138,0,0.9,0,0,0,2025-04-02T15:28:00Z
85,172,1,6.6,1,0,0,2025-04-04T12:48:00Z
86,184,1,4.8,0,0,0,2025-04-04T17:42:00Z
87,157,0,0.1,0,0,0,2025-04-03T15:53:00Z
88,164,1,10.6,0,1,0,2025-04-04T09:02:00Z
89,195,1,5.2,0,0,0,2025-04-04T21:33:00Z
90,133,1,2.2,0,0,0,2025-04-02T13:11:00Z
91,130,0,1.6,0,0,0,2025-04-02T11:29:00Z
92,105,1,9.2,0,0,0,2025-04-01T13:48:00Z
93,119,1,3.3,1,0,0,2025-04-01T14:42:00Z
94,146,0,0.9,0,0,0,2025-04-03T10:14:00Z
95,200,1,13.1,0,0,0,2025-04-04T23:17:00Z
96,148,0,0.2,0,0,0,2025-04-03T11:27:00Z
97,190,1,8,0,0,0,2025-04-04T19:48:00Z
98,159,0,1.5,0,0,0,2025-04-03T17:00:00Z
99,138,1,8.9,1,0,0,2025-04-02T15:35:00Z
100,121,1,4.1,0,1,0,2025-04-01T16:05:00Z
